 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Procedimento: 0303010010 TRATAMENTO DE DENGUE CLÁSSICA
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"24 Rio Grande do Norte";32072,52;62049,40;94932,95;165257,43;159423,88;171160,86;91153,00;79358,53;33758,11;16279,40;12569,60;10164,62;11695,94;9974,03;23118,73;3557,12;33193,42;27460,71;20545,20;13857,68;11410,90;9260,21;5724,02;8638,99;5372,46;8860,86;11782,40;15703,39;26518,50;29913,52;42726,55;27404,01;36126,53;34552,93;26918,18;41734,12;50773,27;81426,84;122193,62;120488,95;105704,93;84521,03;64118,73;40855,39;19246,06;35239,10;43907,23;43402,43;48231,09;43745,42;61477,16;66237,13;64554,90;53229,71;40329,45;30794,13;23261,16;13778,73;14483,03;19695,92;26610,16;37972,86;53156,08;57783,06;56121,24;43964,75;51887,96;32070,00;24777,15;17731,85;18391,07;30146,45;30095,28;33572,24;40782,64;66234,29;55730,59;44353,91;33177,42;16756,62;8199,59;6742,62;6824,43;11193,42;7595,40;21767,50;31039,04;28175,99;22802,82;12899,02;12361,69;8577,04;5607,50;4844,40;2961,49;5855,62;31534,56;69230,23;156220,62;169351,96;92817,45;77325,86;32720,33;32362,56;16049,71;3852,88;3911,45;2264,53;2078,32;5473,63;4594,29;5387,68;9590,62;4280,74;5769,39;8671,88;4379,79;4811,91;3167,73;2623,00;1854,56;5143,98;12111,48;28600,19;54215,94;51140,58;48757,13;27327,53;28266,91;13448,15;5939,78;15653,13;5135,73;3712,56;3751,57;13855,86;35543,30;38549,00;49015,07;24084,73;34746,56;11899,06;6432,16;5949,78;7267,48;4902,73;5435,74;6391,78;4462,58;2709,84;3678,65;1165,26;4984309,22
"25 Paraíba";36607,93;45895,32;69606,43;135490,24;135462,76;101388,27;76164,50;53807,19;27540,29;18963,80;12992,95;11977,12;11590,58;11470,64;18752,58;22654,80;18787,50;21771,47;26088,87;12255,74;14939,51;9034,64;13804,18;15408,86;14099,01;21550,80;37096,43;41580,01;58124,18;104419,20;115130,22;85911,83;60100,35;48151,38;45030,27;52725,35;52302,74;93885,66;123536,02;135904,86;110490,89;117009,04;68913,49;35131,00;12332,83;15421,33;12905,86;8175,89;16556,41;22649,43;32333,64;56726,17;70987,62;68306,66;55600,93;31419,35;19982,31;13053,03;17383,26;15969,98;24510,11;33916,27;42947,23;48335,01;58487,18;68475,42;73105,60;61003,48;50599,66;37886,19;25282,04;15608,16;19872,94;22682,25;18791,59;37193,03;45930,45;42137,74;34053,99;27489,71;19081,94;12420,27;12679,35;18955,90;9048,71;12221,51;35311,55;57003,73;46992,01;29540,55;21528,19;16168,42;13216,03;8681,04;6037,33;9283,42;30267,54;56062,30;86732,96;129272,29;115047,38;124745,67;67917,06;46730,64;33129,31;17928,76;6312,66;7230,69;11327,69;7060,04;8695,89;7284,37;5233,87;8859,13;11629,69;14800,46;11070,89;18362,58;15480,04;12861,27;16901,48;15084,19;27398,99;38258,96;99623,21;146564,17;97155,71;46758,44;16798,74;14508,62;11663,23;5687,38;9830,27;8703,07;22564,88;39504,14;82254,17;81485,36;73548,66;48698,16;23787,31;19200,24;12214,99;4961,91;5125,17;12453,74;6678,05;8454,99;10087,05;15928,14;23512,66;12627,64;5841898,50
"26 Pernambuco";13998,30;22365,42;34168,63;78195,06;170311,23;139734,24;102997,53;79677,73;30685,40;16785,55;10484,00;10581,33;11370,69;11572,66;18316,78;18620,70;20303,03;16485,03;16901,86;10230,38;14512,26;8072,97;10935,36;11961,89;18423,82;20447,58;51462,85;94220,28;163425,05;218653,36;273820,54;243094,31;139468,33;100308,12;51024,10;72545,10;68353,26;93062,78;140633,23;200651,11;183052,43;134581,00;113272,28;74419,84;43439,22;44586,79;40366,91;52776,74;75160,59;98160,79;153569,62;165189,57;155453,24;91150,36;62046,41;38421,53;22811,39;9790,59;16347,88;13903,36;14146,35;19175,21;16119,21;28665,87;33124,40;44577,13;24340,61;25476,07;15194,71;12629,05;12514,09;10275,89;13741,72;14437,83;13728,03;18708,75;30161,73;30272,75;22706,55;15689,27;15891,55;10518,03;19853,31;24845,15;11597,53;14261,49;27835,65;51463,89;46164,54;49804,25;23912,42;16008,06;19647,61;19330,75;64109,34;168979,76;195840,41;228465,86;230491,10;135958,83;101223,91;77619,22;48871,81;23815,81;13284,78;12328,83;8459,40;7710,68;9181,18;8937,81;22729,41;15400,80;17135,90;26512,63;20331,72;16516,05;16460,55;13810,76;10541,86;10022,06;20893,85;24376,84;35413,06;61823,52;64092,77;47152,61;42020,29;26717,37;27030,04;26490,16;19009,81;15829,92;20605,55;32048,39;37847,39;77248,86;120057,37;116910,63;89407,91;65640,71;48174,87;33239,29;18249,45;12118,86;10105,81;19623,40;29961,11;16970,65;18162,65;23695,06;26277,39;14152,99;7930270,89
"27 Alagoas";10871,40;10595,96;18467,87;73312,38;109314,60;65635,20;32753,30;22725,20;24377,17;10826,34;6343,32;5238,26;6767,38;6850,60;9963,59;5660,84;8437,76;9968,20;13453,20;13411,17;12038,52;11342,88;6226,96;6019,20;13589,42;25251,59;92760,44;120787,04;154681,23;139281,88;119583,84;61348,41;50604,02;35923,56;20723,26;22275,01;18177,60;13933,08;24758,46;40966,32;33401,96;24852,66;13022,47;17210,06;13657,95;17651,75;17801,62;18973,19;35056,22;47438,27;45679,06;57108,22;48867,11;40930,82;37867,92;24955,39;17062,91;10419,71;15100,03;5356,68;7932,03;11640,11;12067,61;16007,32;24609,12;17784,53;15313,06;9848,77;11952,90;10519,81;10798,14;14737,27;28400,72;12234,30;7340,24;14801,16;18772,30;18399,87;31362,63;15894,28;12960,27;14472,77;14174,94;14057,12;16721,10;19188,99;31342,97;28395,68;35988,69;29908,59;31127,25;12962,03;31681,05;34006,39;43358,39;72147,94;46273,39;48981,01;61485,19;40843,27;31806,74;30849,18;18394,02;19110,74;12290,68;10820,67;11293,50;6232,86;11354,30;6846,77;5138,47;7055,55;4669,00;3117,60;6856,07;2859,79;7164,47;2631,08;2927,99;3523,82;4876,50;2805,84;1770,62;5282,86;4415,76;8120,66;4776,59;4412,80;2306,20;3371,71;6204,86;8885,50;3559,19;10462,80;16804,56;22683,97;59884,85;96920,16;101403,66;77287,43;52249,17;57371,22;29815,02;17063,39;26402,17;8604,50;6181,09;24723,33;11267,14;7354,48;13285,43;6334,92;3859985,34
"28 Sergipe";9501,91;11310,21;28798,10;116690,45;135922,79;177579,91;123982,06;120325,00;31463,55;9937,99;3126,21;9078,44;7453,80;5930,00;11412,40;10693,62;16358,00;14760,21;13586,92;9669,76;3935,28;5452,76;4052,22;1583,37;2469,96;1254,12;2407,00;6330,24;6777,00;5890,81;7547,96;5212,72;7732,81;5815,38;7771,72;6745,96;10712,37;8241,64;14786,31;36320,78;21493,17;20955,01;24946,39;23848,79;21420,54;19060,31;12905,82;13735,84;19127,59;12139,51;13649,45;33605,34;24765,73;24069,61;31240,00;12787,13;28784,94;6217,06;2469,96;3212,35;2204,28;887,28;3904,78;2868,03;3085,48;2976,80;4924,04;7425,78;6504,92;295,76;2014,32;24341,26;2136,16;2014,32;3586,08;2997,60;4492,28;12347,51;4327,66;7758,80;10316,25;5790,42;1438,80;4986,70;27320,59;2764,99;8410,10;4206,08;5645,53;1007,16;2563,06;5878,08;2757,72;8848,76;9670,71;5145,86;5262,88;6939,28;8826,58;4216,54;5924,51;3485,12;5224,87;6548,30;-;840,56;287,76;-;1061,11;2100,85;1294,92;295,76;1428,13;679,64;7304,44;607,52;1071,16;1521,45;719,40;583,52;1445,06;1151,04;645,47;1195,46;431,64;287,76;863,28;863,28;311,76;607,52;295,76;-;607,52;-;2715,85;4741,35;17058,53;35695,85;51420,51;55867,90;88231,08;80782,34;32749,75;21467,82;16640,83;10481,18;11452,98;5902,60;6728,03;2635,67;2546,25;1592,81;2120541,41
"29 Bahia";44111,08;66222,18;120784,75;408753,52;450860,58;332872,26;191312,61;112899,34;65488,74;56769,02;55808,20;103173,05;180566,85;508607,07;946815,85;1194137,58;848770,92;514766,72;395377,64;208510,20;99403,18;84505,65;87906,32;118310,63;144347,73;220074,54;410706,01;458087,13;528838,88;480810,42;312497,56;197989,19;131547,33;101449,17;116405,30;164290,15;210041,76;242383,45;351674,74;460314,76;325617,46;306786,44;235516,76;131536,67;108472,06;101221,90;117968,42;147750,03;227690,18;303045,55;429363,07;551734,44;493638,14;360485,36;248883,23;169648,81;106048,93;76143,65;82973,99;121651,85;237203,04;356462,89;523149,46;541135,93;345312,39;263335,53;203310,54;109986,36;101891,04;59529,25;49820,40;54968,88;72064,25;64774,40;77850,10;113149,97;117362,05;131726,49;90890,09;70900,27;59153,31;68471,03;46445,87;49696,37;62432,40;109759,24;190462,22;266960,72;344245,97;274598,89;257692,36;232553,74;138282,11;134445,82;153647,92;189999,65;203336,35;450697,39;567725,71;481445,78;311695,88;172887,10;106836,89;101449,47;68378,57;94419,18;73421,15;50950,50;98388,20;73986,66;81325,66;57119,21;60159,16;50460,49;36554,33;26387,12;13901,80;16336,97;21320,93;14999,52;24355,83;28830,26;36066,80;38203,01;37946,28;27526,80;26785,55;28936,98;18113,36;19116,72;22475,50;12178,22;25186,78;41784,54;48219,43;85532,38;177669,50;205073,26;164022,36;142170,32;97259,76;78950,12;65243,93;56334,47;63865,64;115835,09;136018,75;133056,82;156304,70;135011,06;71524,27;52583,09;28144405,55
"31 Minas Gerais";13684,18;21981,18;47638,20;154028,86;189084,75;138306,88;71421,91;24048,08;13637,86;13118,48;14666,07;18880,57;44392,54;75301,99;160801,46;207790,66;177114,66;101396,64;43250,09;28236,16;12711,43;13085,51;20412,15;30573,63;89437,57;222215,61;407505,64;541292,04;499563,96;283621,46;120876,45;53020,50;42991,89;23782,33;24662,02;45117,51;44117,03;64457,68;103191,90;125973,09;138868,80;90392,13;42907,61;32338,03;25761,67;19725,90;21047,22;25096,15;40528,43;48070,93;68670,30;61419,29;66599,48;53035,73;39529,36;21913,36;13920,22;8486,54;23278,98;41013,50;167546,37;303053,10;494624,38;612641,27;432292,97;198678,35;98396,39;33782,87;25886,40;24065,52;29764,81;34278,89;35695,76;63813,77;88808,31;138675,12;128270,13;92214,17;75919,32;23196,32;14082,57;21855,50;24421,11;26856,80;48265,22;106859,91;213454,29;322716,71;423676,01;240062,71;163650,92;53598,35;41323,09;38049,23;54862,97;163502,74;321130,23;571274,96;833745,26;825627,94;601179,86;360907,36;111605,27;28131,65;14450,00;18748,06;21866,85;40367,86;112511,86;118577,93;95952,34;62194,71;55601,44;28119,60;14768,00;8100,96;9539,74;14705,18;13118,23;11732,72;33114,37;46265,19;48741,91;75299,11;89520,93;42731,29;21405,78;14725,18;24975,16;15919,21;18436,60;32923,13;99857,32;192632,60;350823,85;666735,02;948179,27;708932,63;342449,64;108730,29;102230,22;31786,68;27596,31;30123,34;98666,39;184068,41;182116,02;156084,13;127514,42;90085,35;44890,06;26482,77;19546837,19
"32 Espírito Santo";12888,98;19642,91;38746,31;95367,78;85895,65;77490,05;60437,26;29371,07;21147,94;12963,33;13167,23;11721,54;38893,65;68974,69;100262,91;199873,17;219840,33;197975,81;127393,92;52317,47;39281,36;19688,48;11602,71;14024,70;29231,38;29927,29;46826,81;61804,89;81300,07;88661,06;72933,72;52098,78;34440,39;42082,62;29855,90;42001,33;57503,63;88271,20;137194,94;174478,64;186397,91;161898,72;97657,96;42921,55;24090,19;15447,01;36731,63;36269,09;54436,56;32749,27;46800,52;34980,00;32786,63;30652,65;25399,47;19297,93;16009,58;12696,84;18131,11;24362,67;29963,94;53181,14;84290,71;103659,90;80613,48;48257,57;30132,52;25655,80;13146,20;14200,86;11194,92;15706,43;19795,48;22850,35;26249,73;19225,81;23305,50;19434,54;35197,78;19038,26;19102,23;15252,38;18142,78;14707,11;20058,97;29529,29;30608,13;42252,11;50890,08;61990,33;60646,86;64583,13;38989,17;41832,97;59915,03;80414,59;95972,48;151611,10;111066,16;99776,05;86156,79;35953,73;22483,43;12896,21;7058,24;7555,09;12664,94;17392,46;29283,55;46502,00;47971,15;40969,88;31405,01;27646,50;11006,52;5589,81;5500,15;7593,64;6234,16;9729,73;9752,77;16136,73;17218,05;30073,69;23478,27;18598,70;22056,74;21418,82;18423,30;13381,36;13393,00;16046,87;44871,37;38689,49;59432,99;80304,47;91605,82;115105,15;91017,81;75463,78;72491,10;45746,01;24707,54;26906,70;33805,44;52280,38;57547,48;59770,13;34143,98;13329,49;4379,53;4295,53;7107206,54
"33 Rio de Janeiro";60137,83;147074,70;617935,42;938419,70;772028,43;576448,37;368779,38;308301,15;146652,60;66678,48;21652,37;33519,92;41235,18;43706,59;50310,10;54161,53;44354,95;35385,04;18668,27;5961,70;6208,72;5354,12;11548,08;11372,31;39726,69;68368,31;93362,43;179162,49;221282,63;193980,14;155072,22;127471,71;70210,93;52369,37;44336,79;64913,26;142570,30;266062,41;435306,39;640697,72;592715,44;345220,48;236012,36;99086,33;55444,53;39190,40;42537,02;61518,25;54749,58;74878,36;144166,30;209232,31;214018,49;183046,57;98660,96;42912,38;42422,95;21766,62;28301,57;59574,75;133022,93;181655,36;340111,40;279692,07;166581,49;94679,81;40470,75;15985,67;15589,31;12021,63;9310,33;14135,26;22431,61;18662,21;14745,49;12383,89;12651,86;8534,42;14982,12;13341,80;11705,33;11579,80;12142,50;7938,15;17697,25;47993,15;67834,24;113216,51;117455,72;89539,62;82633,45;76798,33;33997,89;40627,32;46068,92;77789,04;147779,09;157463,05;122003,46;152258,52;86657,95;44427,91;26678,56;10695,02;5436,42;3028,93;4545,00;11816,13;19483,88;16111,54;13303,15;13369,85;3409,42;5593,66;7248,75;8709,84;4700,20;4780,42;4725,76;8404,36;8990,68;5626,09;14575,90;27080,34;35731,26;13439,72;12159,70;4053,00;2798,17;5019,56;4461,35;7918,11;12830,22;10706,05;14787,97;33793,00;41751,53;27568,48;16473,69;7621,97;7378,23;5315,70;7196,46;5208,66;10890,51;15356,29;12080,49;9710,11;5431,84;4146,12;1319,40;1179,74;13377482,22
"35 São Paulo";15083,24;19362,30;31485,22;68976,70;48271,29;40098,58;16900,86;13313,77;7897,05;3990,94;8964,38;7497,56;21791,14;20665,96;31566,21;51826,59;54682,46;29983,93;15659,95;6964,47;7768,40;6599,46;15370,49;22156,38;44399,05;188653,55;447973,09;611577,28;404627,70;194036,39;96731,82;31351,99;26418,61;15144,86;26636,10;29154,75;31318,78;83481,38;117963,96;198797,21;264646,27;147237,76;67373,24;32640,60;27654,85;47077,62;29595,91;29991,14;26088,73;27259,56;51673,34;46820,20;57891,98;47710,50;29066,39;18111,33;17023,16;17267,10;27490,07;34204,44;59986,77;107135,01;277971,23;376552,49;281337,24;116685,12;43868,79;25987,50;16589,37;22491,69;10581,17;14803,60;28395,30;52317,82;118127,91;366692,99;390191,73;198740,26;133081,38;42222,30;28999,28;29834,09;31040,42;44702,10;159968,17;444442,24;959631,59;1269625,37;1074300,87;551086,71;233711,11;80210,16;54659,71;40007,79;44751,24;113628,10;172835,40;337021,69;355798,19;374264,40;211694,10;80275,72;49183,47;15073,90;16308,39;23258,79;22961,28;34601,67;39026,27;37723,32;41408,10;26345,13;21519,93;12867,22;9633,88;7971,25;15282,83;32665,46;26418,54;31682,33;27712,35;41147,34;36545,76;33086,93;30581,34;18901,36;15910,10;14453,33;6580,15;16124,15;23295,16;61081,26;115310,28;327264,14;535714,18;829699,92;1062457,18;639587,88;258249,20;109708,04;65751,03;45223,75;47028,48;69714,21;305419,46;573426,55;638403,13;334507,53;195670,59;68290,62;46162,38;19830,09;20614985,79
"41 Paraná";6640,06;5827,20;9045,74;15334,29;12488,15;7111,21;620,32;3707,26;3137,72;2116,80;2283,66;4670,94;3338,27;6100,64;8394,31;7964,60;6259,99;4004,99;2046,32;1733,00;1454,80;287,76;829,82;3882,79;5669,75;37754,19;79781,99;145494,63;142371,56;73214,24;58456,57;25519,07;8999,33;9231,88;10974,30;8304,37;20907,41;52739,53;114880,96;133750,34;94629,36;62121,91;13662,28;8758,75;5474,96;21891,38;12306,98;16735,82;15128,97;20373,34;12297,25;11035,38;8947,30;6867,32;6066,91;1798,76;3221,86;3055,04;4997,87;5202,23;32345,82;70698,82;177900,25;260754,16;220214,50;146891,65;49647,67;17344,64;8416,93;3980,76;9668,33;6156,98;27202,49;52249,35;77461,39;130113,55;130466,67;67770,20;43250,69;15706,51;11977,80;8975,21;10672,02;11288,70;12611,19;47025,54;109057,49;216112,65;217791,18;124533,36;37969,96;26475,99;10875,15;10933,67;26879,70;25954,87;68914,80;116572,00;157730,29;214574,93;161012,74;71512,46;26496,84;14493,57;2117,27;5685,69;9231,43;7806,17;23591,58;17237,95;15006,03;9022,26;5131,92;4872,78;2062,32;2220,15;3968,48;10711,45;12171,26;9492,41;8425,88;9168,55;10760,91;9430,84;6647,18;6892,53;5098,69;2022,46;2318,08;2755,12;6125,70;3489,79;4477,74;14224,94;34639,29;75256,55;105503,58;84078,37;77167,75;35818,46;22256,01;13964,94;16815,97;53066,02;137611,22;395892,79;545795,33;446804,03;577278,40;292963,58;92603,75;84832,95;7995104,45
"42 Santa Catarina";261,60;1077,25;3248,35;353,15;654,00;743,33;261,60;-;-;-;-;-;968,82;-;388,47;-;388,47;-;-;-;287,76;-;-;388,47;1216,64;4209,17;2891,34;2572,35;-;1145,93;963,99;287,76;433,14;-;-;575,52;311,76;575,52;855,44;591,52;2720,34;287,76;287,76;287,76;1268,33;-;940,88;287,76;575,52;-;287,76;388,47;1294,92;575,52;-;-;-;-;963,99;287,76;820,11;1244,26;1835,27;1496,34;303,76;1560,77;2251,71;723,26;734,88;-;-;325,71;856,91;-;388,47;287,76;697,06;951,41;442,63;591,52;-;287,76;1836,00;-;1188,99;3597,89;6349,39;7378,81;2955,75;5448,10;956,02;730,23;1603,74;-;1488,89;3362,66;10760,86;17334,95;32463,86;44784,58;16721,18;6713,92;1722,52;287,76;287,76;1077,21;1413,03;2929,36;2200,39;1625,46;2228,00;2267,82;303,76;384,91;2129,40;-;1796,51;677,58;1221,75;993,86;1759,49;-;2903,75;2535,82;287,76;297,10;1104,19;287,76;-;639,64;-;576,52;2652,03;3816,33;8811,44;5453,69;12241,38;3971,34;3593,80;2410,65;2764,49;1443,19;575,52;2035,77;3354,56;5832,07;11325,34;18059,47;13774,28;6602,42;2685,18;774,91;363698,26
"43 Rio Grande do Sul";1082,40;784,80;2284,52;261,60;573,54;-;523,20;-;-;261,60;-;-;-;575,52;287,76;1761,87;287,76;-;-;-;-;-;-;-;887,28;1756,91;16972,26;11955,52;2655,24;977,23;324,46;699,58;311,76;287,76;653,47;726,91;863,28;4527,29;5238,51;5044,12;1884,75;303,76;287,76;-;-;-;-;287,76;575,52;736,96;631,64;1546,98;287,76;575,52;287,76;-;-;-;287,76;287,76;385,89;2224,45;2058,38;3769,09;5908,70;4791,61;287,76;575,52;-;-;613,47;287,76;287,76;4118,52;2698,35;365,71;1419,68;287,76;-;295,76;-;-;287,76;575,52;615,52;1777,26;11276,38;22099,16;10953,55;4008,39;1820,51;575,52;879,28;391,88;1713,55;895,28;6080,54;9942,65;14049,37;21082,39;8747,33;2853,98;919,28;1478,80;757,83;287,76;941,23;2148,27;3544,34;4686,93;1964,32;1001,91;1801,32;287,76;1629,06;-;-;1226,94;788,96;1168,04;1061,47;1415,84;575,52;287,76;957,23;-;-;-;-;-;295,76;303,76;1228,99;303,76;2118,32;2186,22;12204,96;5130,88;2361,45;-;921,29;325,71;-;1049,41;2366,75;4647,21;7805,02;15629,98;12031,90;14076,24;850,56;1419,09;337737,66
"50 Mato Grosso do Sul";3378,46;3092,04;5555,65;14247,51;14852,97;12733,21;3914,29;1820,90;2594,73;2152,48;1439,55;1918,44;9297,72;2661,84;15062,47;34650,42;43403,02;25235,13;12172,27;4923,21;2727,44;3599,97;19474,76;39120,88;76995,63;162809,73;212774,80;324981,43;211594,80;120990,45;37627,10;16927,26;11881,17;9269,15;10800,57;14692,76;21187,23;29318,26;49379,38;53037,49;41064,06;28683,21;8526,66;6890,54;5945,55;5126,09;7103,50;8122,19;14014,09;19768,02;12689,76;21878,80;28220,86;20218,04;22954,82;11661,71;5811,20;5600,15;5377,18;17327,20;98156,43;147633,40;177780,46;165426,51;121792,79;70589,25;34668,12;13701,59;7359,15;8829,93;5533,05;8392,97;9110,26;15455,66;11842,66;15707,16;16820,49;7715,42;5246,57;4931,22;3569,18;8103,59;5935,91;7790,23;17061,17;35670,05;54275,18;100872,81;124009,25;84667,66;63756,50;51171,14;20964,74;21830,52;38674,02;49669,20;101911,83;166063,34;161330,76;113718,85;98471,05;54141,13;18467,53;6177,92;5927,72;3704,01;6315,14;5489,59;7347,79;13832,40;12419,28;12181,46;5424,36;7743,71;5889,27;7500,78;18411,31;8707,85;5563,44;3836,88;7410,97;7961,29;8663,02;7621,96;12258,72;8256,06;6165,26;3403,42;4140,76;2757,78;6865,54;35293,55;29549,26;39002,78;60612,75;170706,23;222678,53;179054,34;146048,11;81766,71;32546,07;18591,41;11111,93;26053,97;100997,90;186753,32;283205,99;246147,07;163943,84;106621,42;48540,36;19853,95;6711156,11
"51 Mato Grosso";13119,86;32131,18;33367,31;37772,34;20996,18;21352,00;16314,36;9009,95;3416,80;3948,29;3416,80;8033,52;6759,70;17183,03;59338,15;143810,06;257223,43;226756,67;116950,22;85172,59;44036,42;58596,40;89919,74;243237,41;384490,98;343493,33;268844,62;163481,87;97947,00;48298,16;37240,90;16146,49;20165,76;17717,66;23938,41;41156,25;53673,15;42555,21;36434,03;33056,73;24751,20;15981,81;9696,08;6510,17;11535,92;12199,64;18999,44;29862,47;56153,98;82859,98;128791,52;132743,01;128138,77;83040,03;59736,05;54261,24;30501,64;31817,97;49881,67;62787,68;82437,77;115453,13;85618,06;88755,52;49987,82;30048,60;26642,95;15903,46;9575,65;10838,80;19226,24;17141,94;15773,56;15576,64;20119,01;18156,54;24341,53;13022,78;8169,28;8047,52;4570,40;8316,24;10774,56;8701,54;15297,54;17481,75;26848,11;37675,02;46046,14;41307,33;27746,61;19270,51;7759,88;12154,71;9675,91;25984,96;42404,11;48838,78;48219,55;29629,14;12996,71;9534,80;6687,60;4012,82;3866,91;7023,97;8298,17;14027,97;10570,39;12317,32;20573,47;17337,94;7586,58;27524,34;10686,31;6789,02;5395,68;6051,15;3579,07;5402,68;13561,56;22849,58;20817,86;14232,32;11459,61;7555,94;5824,13;5088,87;4025,50;4787,47;6572,95;5351,29;13324,40;20233,55;17651,77;20982,11;31684,86;21131,40;22365,26;15524,00;11000,64;11654,40;15381,69;27892,64;66130,56;87633,99;81837,88;74839,95;61954,93;44162,02;24565,09;6793,75;6373427,69
"52 Goiás";64303,97;156194,37;198836,92;332709,63;269236,36;154166,24;68986,82;34578,00;29864,74;22536,14;22801,60;22471,52;40652,42;52237,12;95461,47;98791,02;78215,48;64639,62;53027,04;29999,28;26929,96;26566,98;62744,09;154492,81;377737,50;499332,60;490479,38;447939,18;414345,21;237318,16;129458,31;56014,93;52272,44;50888,06;58429,96;78398,35;88117,00;116533,91;96929,94;159696,28;114524,40;76831,84;39297,03;37630,11;21895,97;39898,74;56587,84;45180,14;59716,16;51672,02;56162,00;55566,57;57448,28;47742,28;30979,75;18676,36;25778,43;18475,80;25644,65;49242,08;148890,24;248372,67;377664,43;359745,16;309253,16;188856,23;102318,09;58203,22;29388,90;26881,58;37536,90;64935,05;141005,94;157502,02;201617,10;251272,70;261262,49;193995,22;120332,23;70969,98;46930,04;45474,63;46937,66;67618,98;162046,12;271421,70;416246,43;444692,23;553735,46;404914,84;179917,96;71208,03;39071,73;44569,22;46552,58;65439,03;125459,43;227292,94;286426,31;195087,26;114408,47;58107,05;26267,54;17762,00;16014,62;21944,03;34886,55;28772,63;64322,38;78635,57;103449,84;135518,44;180845,69;175907,50;65043,90;41549,57;19787,02;26641,93;28113,84;41349,42;78477,76;143395,83;190177,68;233494,26;229556,46;120572,56;73359,06;43002,95;26294,55;29515,05;42371,35;84344,30;130960,51;155602,23;184743,11;268793,40;333571,41;283393,30;128579,97;72300,19;34705,09;31751,09;22430,20;38269,95;59517,97;107283,84;136323,86;112970,84;100868,46;54578,72;24426,09;11960,16;18401251,34
